!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-06-27 08:31:43

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151_2019

[DEVICE]
SAT2054

# Correlated color temperature (K)
[LAMP_CCT]
2972.0

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
66	522.75	1.228E-004	1.84	351.500	0	18270.93	1.77	18326.33	5.14
67	526.10	1.195E-004	1.84	353.600	0	19229.70	2.18	19301.53	3.71
68	529.45	1.163E-004	1.84	355.700	0	20262.20	1.81	20334.73	4.57
69	532.79	1.135E-004	1.84	357.200	0	21305.27	2.48	21373.73	4.12
70	536.14	1.111E-004	1.84	347.200	0	22306.83	2.73	22373.33	4.32
71	539.49	1.090E-004	1.84	350.100	0	23254.90	2.50	23338.87	3.70
72	542.84	1.076E-004	1.82	355.200	0	24113.27	2.35	24199.13	4.55
73	546.19	1.067E-004	1.81	349.700	0	24861.87	2.72	24968.67	4.55
74	549.53	1.059E-004	1.79	352.900	0	25590.73	2.57	25708.53	4.35
75	552.88	1.056E-004	1.79	349.500	0	26216.93	2.65	26331.60	5.01
76	556.23	1.057E-004	1.79	353.400	0	26758.50	2.35	26873.67	5.09
77	559.58	1.059E-004	1.79	354.800	0	27254.87	1.99	27383.53	2.95
78	562.92	1.061E-004	1.79	354.800	0	27720.07	2.55	27864.80	4.16
79	566.27	1.067E-004	1.79	351.100	0	28126.30	2.45	28266.47	4.32
80	569.62	1.076E-004	1.79	355.300	0	28449.70	2.23	28592.00	4.40
81	572.96	1.088E-004	1.79	352.700	0	28677.40	2.49	28810.73	4.65
82	576.31	1.099E-004	1.79	355.700	0	28882.37	2.51	29039.20	3.36
83	579.66	1.115E-004	1.79	350.400	0	29017.83	2.13	29160.33	5.51
